species,scientificName,verbatimScientificName,decimalLatitude,decimalLongitude,day,month,year
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.642537,-1.779755,17,10,2004
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.732433,-1.779303,29,9,2006
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.002105,-2.224966,29,10,2001
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.215471,0.735861,22,10,2000
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.318379,1.59342,22,10,2014
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.327185,0.566624,21,10,2004
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.215471,0.735861,27,10,1996
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.4951,1.696247,9,1,2006
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.086989,0.84478,,,2003
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.395748,0.717602,20,9,2003
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.281595,1.619771,,8,1999
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.397084,0.658882,19,9,2015
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.35604,1.537717,,,1992
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.134225,1.110855,15,10,2000
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.215471,0.735861,4,10,1998
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.3048,1.44559,12,11,2014
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.404466,1.718072,26,7,2006
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.387443,1.687237,10,10,2001
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.276296,1.179449,1,5,2004
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.215471,0.735861,3,10,1999
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.215471,0.735861,19,10,2003
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.134992,1.081678,26,10,1974
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.209815,1.613927,22,7,2008
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.4951,1.696247,18,9,2006
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.174816,1.581826,,,1998
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.215471,0.735861,10,10,2004
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.245705,1.616846,,,1983
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.272261,1.325771,11,10,2014
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.464593,1.516971,3,9,2009
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.873398,1.044622,2,10,1987
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.502222,1.461022,29,9,1992
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.704379,0.588709,24,10,2001
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.697551,0.884338,15,11,1995
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,16,10,1994
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.697551,0.884338,19,8,1994
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.681688,1.475207,,,1938
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.510468,1.166857,,,1938
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.794182,0.59404,22,10,1996
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,6,8,1980
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.873398,1.044622,1,9,1979
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,1,11,1996
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.685929,1.327543,,,1938
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,25,9,1994
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.779744,1.186386,20,8,1994
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.689987,1.179842,8,10,1983
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.97043,0.753532,29,4,2002
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.697551,0.884338,,,2002
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.779744,1.186386,19,10,2003
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.873398,1.044622,23,9,2001
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.689987,1.179842,10,9,1998
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.502222,1.461022,7,10,2000
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.775673,1.334389,3,10,1992
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.689987,1.179842,21,4,1978
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.510468,1.166857,1,9,1998
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.963164,1.05093,29,9,2002
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.689987,1.179842,17,9,1999
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.787332,0.890276,3,8,1993
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,10,9,1977
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.591956,1.468096,2,9,2000
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.873398,1.044622,12,10,1991
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.591956,1.468096,,,1938
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,25,7,1976
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.614573,0.583406,7,10,2001
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.697551,0.884338,12,10,1999
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.689987,1.179842,25,7,1982
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,,5,1977
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.775673,1.334389,8,8,1996
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.689987,1.179842,23,10,1977
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.779744,1.186386,,,1938
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.506436,1.313957,9,9,1999
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.60409,1.025898,23,7,1979
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.600228,1.173332,2,9,1991
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.79085,0.742173,31,8,1982
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.775673,1.334389,7,8,1998
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.697551,0.884338,13,10,2001
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.502222,1.461022,3,9,2009
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.600228,1.173332,13,9,1996
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.596184,1.320732,22,7,2002
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.873398,1.044622,10,9,1996
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.517983,0.872556,20,3,1978
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,14,9,2002
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.596184,1.320732,10,9,2001
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.779744,1.186386,29,12,1999
