"","species","lat","lon","month","year"
"277","Calvatia gigantea",52.001539,-0.326194,9,1985
"278","Calvatia gigantea",52.280379,-2.807609,8,1992
"279","Calvatia gigantea",51.112533,-1.358534,8,2004
"280","Calvatia gigantea",52.8173,-3.114298,1,1996
"281","Calvatia gigantea",52.803009,-4.152357,9,1990
"282","Calvatia gigantea",53.171764,-0.430619,9,1984
"283","Calvatia gigantea",51.901986,0.251559,9,2004
"284","Calvatia gigantea",52.192135,-1.489408,8,1971
"285","Calvatia gigantea",51.56368,-1.785,9,2005
"286","Calvatia gigantea",57.042785,-2.908041,9,1975
"287","Calvatia gigantea",52.8173,-3.114298,9,1996
"288","Calvatia gigantea",53.263501,-0.577195,8,1999
"289","Calvatia gigantea",52.907177,-3.116603,10,1996
"290","Calvatia gigantea",53.173641,-0.58017,9,1994
"291","Calvatia gigantea",54.080894,-2.077917,9,1970
"292","Calvatia gigantea",52.462367,-2.369384,8,2002
"293","Calvatia gigantea",53.630935,-1.62343,9,1997
"294","Calvatia gigantea",52.821389,-2.520816,12,1993
"296","Calvatia gigantea",56.582784,-3.873853,9,1980
"297","Calvatia gigantea",52.282578,-1.634956,12,1989
"298","Calvatia gigantea",52.8186,-2.965942,8,1992
"299","Calvatia gigantea",52.271138,-0.316058,2,2006
"300","Calvatia gigantea",53.16501,0.017921,10,1998
"302","Calvatia gigantea",53.356538,-3.128318,9,1992
"303","Calvatia gigantea",54.425635,-5.92071,9,1992
"304","Calvatia gigantea",50.728194,-4.480945,9,1973
"305","Calvatia gigantea",51.742601,-2.508314,9,1989
"306","Calvatia gigantea",51.183221,0.216352,8,2001
"307","Calvatia gigantea",56.504903,-2.732675,9,1970
"308","Calvatia gigantea",52.003518,-0.471807,11,1982
"309","Calvatia gigantea",52.639965,-1.188651,6,1995
"310","Calvatia gigantea",52.462367,-2.369384,9,1971
"312","Calvatia gigantea",51.81733,-0.042852,9,1977
"313","Calvatia gigantea",51.293929,-2.216508,9,1990
"314","Calvatia gigantea",53.531174,-0.417362,7,1990
"315","Calvatia gigantea",52.689987,1.179842,9,1983
"316","Calvatia gigantea",52.908481,-2.96794,9,1986
"317","Calvatia gigantea",52.873398,1.044622,9,1976
"320","Calvatia gigantea",50.997783,0.492554,10,2004
"321","Calvatia gigantea",52.102764,-2.366404,9,1970
"322","Calvatia gigantea",51.812146,0.247078,9,2004
"323","Calvatia gigantea",55.962133,-3.202943,8,1994
"324","Calvatia gigantea",51.023311,-1.502347,7,2001
"325","Calvatia gigantea",51.563854,-2.073526,11,1995
"326","Calvatia gigantea",53.261619,-0.427332,9,1970
"327","Calvatia gigantea",52.993915,-0.586072,8,1999
"328","Calvatia gigantea",56.580225,-4.036545,9,1980
"329","Calvatia gigantea",55.872304,-3.200164,9,1983
"330","Calvatia gigantea",50.844332,-1.788319,9,2003
"331","Calvatia gigantea",53.267991,-2.976043,9,1992
"332","Calvatia gigantea",52.998389,-1.032947,10,2005
"333","Calvatia gigantea",50.753535,-2.49752,3,2005
"334","Calvatia gigantea",51.023311,-1.502347,5,2003
"335","Calvatia gigantea",52.689987,1.179842,4,1979
"336","Calvatia gigantea",53.538776,-1.171573,9,1996
"337","Calvatia gigantea",53.990445,-1.620196,9,1997
"338","Calvatia gigantea",51.365561,0.081484,9,1978
"339","Calvatia gigantea",51.163826,1.07369,5,2004
"340","Calvatia gigantea",54.340754,-6.232551,10,1995
"341","Calvatia gigantea",52.353833,-4.130458,9,1984
"342","Calvatia gigantea",53.356571,-0.874608,9,2003
"343","Calvatia gigantea",53.088239,-2.97197,9,1985
"344","Calvatia gigantea",51.731927,-0.336173,9,1985
"346","Calvatia gigantea",56.503838,-2.895115,9,1991
"347","Calvatia gigantea",52.814183,-0.591911,7,1997
"348","Calvatia gigantea",52.907177,-3.116603,9,1979
"349","Calvatia gigantea",51.530227,0.809921,9,1978
"350","Calvatia gigantea",52.102219,-2.512394,9,1997
"351","Calvatia gigantea",53.167449,-0.131572,6,1999
"352","Calvatia gigantea",54.422885,-5.766759,9,1983
"353","Calvatia gigantea",50.754064,-1.646966,4,2000
"354","Calvatia gigantea",54.616057,-6.685044,9,1999
"355","Calvatia gigantea",53.069686,-4.314912,9,1990
"356","Calvatia gigantea",52.099502,-2.950326,9,1989
"357","Calvatia gigantea",52.006937,-0.763078,9,1982
"358","Calvatia gigantea",53.449828,-2.679052,9,1992
"359","Calvatia gigantea",52.143265,1.433096,9,1984
"360","Calvatia gigantea",52.908481,-2.96794,3,1997
"361","Calvatia gigantea",53.534785,-0.719004,9,1970
"362","Calvatia gigantea",53.990445,-1.620196,8,1998
"363","Calvatia gigantea",54.530256,-1.924251,3,1997
"364","Calvatia gigantea",52.732065,-1.631216,8,1994
"365","Calvatia gigantea",52.812331,-0.443596,10,1982
"366","Calvatia gigantea",51.812146,0.247078,9,2004
"367","Calvatia gigantea",52.989039,-5.990394,8,1997
"368","Calvatia gigantea",51.02175,-1.217211,1,2004
"369","Calvatia gigantea",50.29168,-3.756165,9,1979
"370","Calvatia gigantea",53.624646,-0.716285,9,1987
"371","Calvatia gigantea",53.261619,-0.427332,5,1970
"372","Calvatia gigantea",52.462367,-2.369384,10,1974
